DOC ID,Relation ID,Relation Type,Relation Name,Term 1,Term 2,abstract
14501155,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T15,Arg2:T27,ketanserin is NOT AGONIST-INHIBITOR of 5-HT(2A)
14501155,CPR:6,Y ,ANTAGONIST,Arg1:T8,Arg2:T23,LY 53857 is ANTAGONIST of 5-HT(2A/2B/2C)-receptor
14501155,CPR:10,Y ,NOT UPREGULATOR,Arg1:T8,Arg2:T23,LY 53857 is NOT UPREGULATOR of 5-HT(2A/2B/2C)-receptor
14501155,CPR:10,Y ,NOT ACTIVATOR,Arg1:T8,Arg2:T23,LY 53857 is NOT ACTIVATOR of 5-HT(2A/2B/2C)-receptor
14501155,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T8,Arg2:T23,LY 53857 is NOT INDIRECT-UPREGULATOR of 5-HT(2A/2B/2C)-receptor
14501155,CPR:7,Y ,NOT DOWNREGULATOR,Arg1:T8,Arg2:T23,LY 53857 is NOT DOWNREGULATOR of 5-HT(2A/2B/2C)-receptor
14501155,CPR:7,Y ,NOT INHIBITOR,Arg1:T8,Arg2:T23,LY 53857 is NOT INHIBITOR of 5-HT(2A/2B/2C)-receptor
14501155,CPR:7,Y ,NOT INDIRECT-DOWNREGULATOR,Arg1:T8,Arg2:T23,LY 53857 is NOT INDIRECT-DOWNREGULATOR of 5-HT(2A/2B/2C)-receptor
14501155,CPR:8,Y ,NOT AGONIST,Arg1:T8,Arg2:T23,LY 53857 is NOT AGONIST of 5-HT(2A/2B/2C)-receptor
14501155,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T8,Arg2:T23,LY 53857 is NOT AGONIST-ACTIVATOR of 5-HT(2A/2B/2C)-receptor
14501155,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T8,Arg2:T23,LY 53857 is NOT AGONIST-INHIBITOR of 5-HT(2A/2B/2C)-receptor
14505791,CPR:6,Y ,ANTAGONIST,Arg1:T10,Arg2:T20,cetirizine is ANTAGONIST of histamine H(1)-receptor
14505791,CPR:10,Y ,NOT UPREGULATOR,Arg1:T10,Arg2:T20,cetirizine is NOT UPREGULATOR of histamine H(1)-receptor
14505791,CPR:10,Y ,NOT ACTIVATOR,Arg1:T10,Arg2:T20,cetirizine is NOT ACTIVATOR of histamine H(1)-receptor
14505791,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T10,Arg2:T20,cetirizine is NOT INDIRECT-UPREGULATOR of histamine H(1)-receptor
14505791,CPR:7,Y ,NOT DOWNREGULATOR,Arg1:T10,Arg2:T20,cetirizine is NOT DOWNREGULATOR of histamine H(1)-receptor
14505791,CPR:7,Y ,NOT INHIBITOR,Arg1:T10,Arg2:T20,cetirizine is NOT INHIBITOR of histamine H(1)-receptor
14505791,CPR:7,Y ,NOT INDIRECT-DOWNREGULATOR,Arg1:T10,Arg2:T20,cetirizine is NOT INDIRECT-DOWNREGULATOR of histamine H(1)-receptor
14505791,CPR:8,Y ,NOT AGONIST,Arg1:T10,Arg2:T20,cetirizine is NOT AGONIST of histamine H(1)-receptor
14505791,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T10,Arg2:T20,cetirizine is NOT AGONIST-ACTIVATOR of histamine H(1)-receptor
14505791,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T10,Arg2:T20,cetirizine is NOT AGONIST-INHIBITOR of histamine H(1)-receptor
14505791,CPR:6,Y ,ANTAGONIST,Arg1:T11,Arg2:T20,Zyrtec is ANTAGONIST of histamine H(1)-receptor
14505791,CPR:10,Y ,NOT UPREGULATOR,Arg1:T11,Arg2:T20,Zyrtec is NOT UPREGULATOR of histamine H(1)-receptor
14505791,CPR:10,Y ,NOT ACTIVATOR,Arg1:T11,Arg2:T20,Zyrtec is NOT ACTIVATOR of histamine H(1)-receptor
14505791,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T11,Arg2:T20,Zyrtec is NOT INDIRECT-UPREGULATOR of histamine H(1)-receptor
14505791,CPR:7,Y ,NOT DOWNREGULATOR,Arg1:T11,Arg2:T20,Zyrtec is NOT DOWNREGULATOR of histamine H(1)-receptor
14505791,CPR:7,Y ,NOT INHIBITOR,Arg1:T11,Arg2:T20,Zyrtec is NOT INHIBITOR of histamine H(1)-receptor
14505791,CPR:7,Y ,NOT INDIRECT-DOWNREGULATOR,Arg1:T11,Arg2:T20,Zyrtec is NOT INDIRECT-DOWNREGULATOR of histamine H(1)-receptor
14505791,CPR:8,Y ,NOT AGONIST,Arg1:T11,Arg2:T20,Zyrtec is NOT AGONIST of histamine H(1)-receptor
14505791,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T11,Arg2:T20,Zyrtec is NOT AGONIST-ACTIVATOR of histamine H(1)-receptor
14505791,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T11,Arg2:T20,Zyrtec is NOT AGONIST-INHIBITOR of histamine H(1)-receptor
14505791,CPR:6,Y ,ANTAGONIST,Arg1:T15,Arg2:T20,levocetirizine is ANTAGONIST of histamine H(1)-receptor
14505791,CPR:10,Y ,NOT UPREGULATOR,Arg1:T15,Arg2:T20,levocetirizine is NOT UPREGULATOR of histamine H(1)-receptor
14505791,CPR:10,Y ,NOT ACTIVATOR,Arg1:T15,Arg2:T20,levocetirizine is NOT ACTIVATOR of histamine H(1)-receptor
14505791,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T15,Arg2:T20,levocetirizine is NOT INDIRECT-UPREGULATOR of histamine H(1)-receptor
14505791,CPR:7,Y ,NOT DOWNREGULATOR,Arg1:T15,Arg2:T20,levocetirizine is NOT DOWNREGULATOR of histamine H(1)-receptor
14505791,CPR:7,Y ,NOT INHIBITOR,Arg1:T15,Arg2:T20,levocetirizine is NOT INHIBITOR of histamine H(1)-receptor
14505791,CPR:7,Y ,NOT INDIRECT-DOWNREGULATOR,Arg1:T15,Arg2:T20,levocetirizine is NOT INDIRECT-DOWNREGULATOR of histamine H(1)-receptor
14505791,CPR:8,Y ,NOT AGONIST,Arg1:T15,Arg2:T20,levocetirizine is NOT AGONIST of histamine H(1)-receptor
14505791,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T15,Arg2:T20,levocetirizine is NOT AGONIST-ACTIVATOR of histamine H(1)-receptor
14505791,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T15,Arg2:T20,levocetirizine is NOT AGONIST-INHIBITOR of histamine H(1)-receptor
14505791,CPR:6,Y ,ANTAGONIST,Arg1:T17,Arg2:T21,cetirizine is ANTAGONIST of histamine H1-receptor
14505791,CPR:10,Y ,NOT UPREGULATOR,Arg1:T17,Arg2:T21,cetirizine is NOT UPREGULATOR of histamine H1-receptor
14505791,CPR:10,Y ,NOT ACTIVATOR,Arg1:T17,Arg2:T21,cetirizine is NOT ACTIVATOR of histamine H1-receptor
14505791,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T17,Arg2:T21,cetirizine is NOT INDIRECT-UPREGULATOR of histamine H1-receptor
14505791,CPR:7,Y ,NOT DOWNREGULATOR,Arg1:T17,Arg2:T21,cetirizine is NOT DOWNREGULATOR of histamine H1-receptor
14505791,CPR:7,Y ,NOT INHIBITOR,Arg1:T17,Arg2:T21,cetirizine is NOT INHIBITOR of histamine H1-receptor
14505791,CPR:7,Y ,NOT INDIRECT-DOWNREGULATOR,Arg1:T17,Arg2:T21,cetirizine is NOT INDIRECT-DOWNREGULATOR of histamine H1-receptor
14505791,CPR:8,Y ,NOT AGONIST,Arg1:T17,Arg2:T21,cetirizine is NOT AGONIST of histamine H1-receptor
14505791,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T17,Arg2:T21,cetirizine is NOT AGONIST-ACTIVATOR of histamine H1-receptor
14505791,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T17,Arg2:T21,cetirizine is NOT AGONIST-INHIBITOR of histamine H1-receptor
14505791,CPR:6,Y ,ANTAGONIST,Arg1:T18,Arg2:T21,levocetirizine is ANTAGONIST of histamine H1-receptor
14505791,CPR:10,Y ,NOT UPREGULATOR,Arg1:T18,Arg2:T21,levocetirizine is NOT UPREGULATOR of histamine H1-receptor
14505791,CPR:10,Y ,NOT ACTIVATOR,Arg1:T18,Arg2:T21,levocetirizine is NOT ACTIVATOR of histamine H1-receptor
14505791,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T18,Arg2:T21,levocetirizine is NOT INDIRECT-UPREGULATOR of histamine H1-receptor
14505791,CPR:7,Y ,NOT DOWNREGULATOR,Arg1:T18,Arg2:T21,levocetirizine is NOT DOWNREGULATOR of histamine H1-receptor
14505791,CPR:7,Y ,NOT INHIBITOR,Arg1:T18,Arg2:T21,levocetirizine is NOT INHIBITOR of histamine H1-receptor
14505791,CPR:7,Y ,NOT INDIRECT-DOWNREGULATOR,Arg1:T18,Arg2:T21,levocetirizine is NOT INDIRECT-DOWNREGULATOR of histamine H1-receptor
14505791,CPR:8,Y ,NOT AGONIST,Arg1:T18,Arg2:T21,levocetirizine is NOT AGONIST of histamine H1-receptor
14505791,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T18,Arg2:T21,levocetirizine is NOT AGONIST-ACTIVATOR of histamine H1-receptor
14505791,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T18,Arg2:T21,levocetirizine is NOT AGONIST-INHIBITOR of histamine H1-receptor
14505791,CPR:6,Y ,ANTAGONIST,Arg1:T6,Arg2:T20,Xyzal is ANTAGONIST of histamine H(1)-receptor
14505791,CPR:10,Y ,NOT UPREGULATOR,Arg1:T6,Arg2:T20,Xyzal is NOT UPREGULATOR of histamine H(1)-receptor
14505791,CPR:10,Y ,NOT ACTIVATOR,Arg1:T6,Arg2:T20,Xyzal is NOT ACTIVATOR of histamine H(1)-receptor
14505791,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T6,Arg2:T20,Xyzal is NOT INDIRECT-UPREGULATOR of histamine H(1)-receptor
14505791,CPR:7,Y ,NOT DOWNREGULATOR,Arg1:T6,Arg2:T20,Xyzal is NOT DOWNREGULATOR of histamine H(1)-receptor
14505791,CPR:7,Y ,NOT INHIBITOR,Arg1:T6,Arg2:T20,Xyzal is NOT INHIBITOR of histamine H(1)-receptor
14505791,CPR:7,Y ,NOT INDIRECT-DOWNREGULATOR,Arg1:T6,Arg2:T20,Xyzal is NOT INDIRECT-DOWNREGULATOR of histamine H(1)-receptor
14505791,CPR:8,Y ,NOT AGONIST,Arg1:T6,Arg2:T20,Xyzal is NOT AGONIST of histamine H(1)-receptor
14505791,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T6,Arg2:T20,Xyzal is NOT AGONIST-ACTIVATOR of histamine H(1)-receptor
14505791,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T6,Arg2:T20,Xyzal is NOT AGONIST-INHIBITOR of histamine H(1)-receptor
14505791,CPR:6,Y ,ANTAGONIST,Arg1:T7,Arg2:T20,dextrocetirizine is ANTAGONIST of histamine H(1)-receptor
14505791,CPR:10,Y ,NOT UPREGULATOR,Arg1:T7,Arg2:T20,dextrocetirizine is NOT UPREGULATOR of histamine H(1)-receptor
14505791,CPR:10,Y ,NOT ACTIVATOR,Arg1:T7,Arg2:T20,dextrocetirizine is NOT ACTIVATOR of histamine H(1)-receptor
14505791,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T7,Arg2:T20,dextrocetirizine is NOT INDIRECT-UPREGULATOR of histamine H(1)-receptor
14505791,CPR:7,Y ,NOT DOWNREGULATOR,Arg1:T7,Arg2:T20,dextrocetirizine is NOT DOWNREGULATOR of histamine H(1)-receptor
14505791,CPR:7,Y ,NOT INHIBITOR,Arg1:T7,Arg2:T20,dextrocetirizine is NOT INHIBITOR of histamine H(1)-receptor
14505791,CPR:7,Y ,NOT INDIRECT-DOWNREGULATOR,Arg1:T7,Arg2:T20,dextrocetirizine is NOT INDIRECT-DOWNREGULATOR of histamine H(1)-receptor
14505791,CPR:8,Y ,NOT AGONIST,Arg1:T7,Arg2:T20,dextrocetirizine is NOT AGONIST of histamine H(1)-receptor
14505791,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T7,Arg2:T20,dextrocetirizine is NOT AGONIST-ACTIVATOR of histamine H(1)-receptor
14505791,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T7,Arg2:T20,dextrocetirizine is NOT AGONIST-INHIBITOR of histamine H(1)-receptor
14507109,CPR:4,Y ,DOWNREGULATOR,Arg1:T10,Arg2:T52,chloramine T is DOWNREGULATOR of plasmatic PAI-1
14507109,CPR:10,Y ,NOT UPREGULATOR,Arg1:T10,Arg2:T52,chloramine T is NOT UPREGULATOR of plasmatic PAI-1
14507109,CPR:10,Y ,NOT ACTIVATOR,Arg1:T10,Arg2:T52,chloramine T is NOT ACTIVATOR of plasmatic PAI-1
14507109,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T10,Arg2:T52,chloramine T is NOT INDIRECT-UPREGULATOR of plasmatic PAI-1
14507109,CPR:8,Y ,NOT AGONIST,Arg1:T10,Arg2:T52,chloramine T is NOT AGONIST of plasmatic PAI-1
14507109,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T10,Arg2:T52,chloramine T is NOT AGONIST-ACTIVATOR of plasmatic PAI-1
14507109,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T10,Arg2:T52,chloramine T is NOT AGONIST-INHIBITOR of plasmatic PAI-1
14507109,CPR:9,Y ,NOT ANTAGONIST,Arg1:T10,Arg2:T52,chloramine T is NOT ANTAGONIST of plasmatic PAI-1
14507109,CPR:4,Y ,DOWNREGULATOR,Arg1:T10,Arg2:T53,chloramine T is DOWNREGULATOR of plasmin
14507109,CPR:10,Y ,NOT UPREGULATOR,Arg1:T10,Arg2:T53,chloramine T is NOT UPREGULATOR of plasmin
14507109,CPR:10,Y ,NOT ACTIVATOR,Arg1:T10,Arg2:T53,chloramine T is NOT ACTIVATOR of plasmin
14507109,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T10,Arg2:T53,chloramine T is NOT INDIRECT-UPREGULATOR of plasmin
14507109,CPR:8,Y ,NOT AGONIST,Arg1:T10,Arg2:T53,chloramine T is NOT AGONIST of plasmin
14507109,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T10,Arg2:T53,chloramine T is NOT AGONIST-ACTIVATOR of plasmin
14507109,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T10,Arg2:T53,chloramine T is NOT AGONIST-INHIBITOR of plasmin
14507109,CPR:9,Y ,NOT ANTAGONIST,Arg1:T10,Arg2:T53,chloramine T is NOT ANTAGONIST of plasmin
14507109,CPR:4,Y ,DOWNREGULATOR,Arg1:T11,Arg2:T52,CT is DOWNREGULATOR of plasmatic PAI-1
14507109,CPR:10,Y ,NOT UPREGULATOR,Arg1:T11,Arg2:T52,CT is NOT UPREGULATOR of plasmatic PAI-1
14507109,CPR:10,Y ,NOT ACTIVATOR,Arg1:T11,Arg2:T52,CT is NOT ACTIVATOR of plasmatic PAI-1
14507109,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T11,Arg2:T52,CT is NOT INDIRECT-UPREGULATOR of plasmatic PAI-1
14507109,CPR:8,Y ,NOT AGONIST,Arg1:T11,Arg2:T52,CT is NOT AGONIST of plasmatic PAI-1
14507109,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T11,Arg2:T52,CT is NOT AGONIST-ACTIVATOR of plasmatic PAI-1
14507109,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T11,Arg2:T52,CT is NOT AGONIST-INHIBITOR of plasmatic PAI-1
14507109,CPR:9,Y ,NOT ANTAGONIST,Arg1:T11,Arg2:T52,CT is NOT ANTAGONIST of plasmatic PAI-1
14507109,CPR:4,Y ,DOWNREGULATOR,Arg1:T11,Arg2:T53,CT is DOWNREGULATOR of plasmin
14507109,CPR:10,Y ,NOT UPREGULATOR,Arg1:T11,Arg2:T53,CT is NOT UPREGULATOR of plasmin
14507109,CPR:10,Y ,NOT ACTIVATOR,Arg1:T11,Arg2:T53,CT is NOT ACTIVATOR of plasmin
14507109,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T11,Arg2:T53,CT is NOT INDIRECT-UPREGULATOR of plasmin
14507109,CPR:8,Y ,NOT AGONIST,Arg1:T11,Arg2:T53,CT is NOT AGONIST of plasmin
14507109,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T11,Arg2:T53,CT is NOT AGONIST-ACTIVATOR of plasmin
14507109,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T11,Arg2:T53,CT is NOT AGONIST-INHIBITOR of plasmin
14507109,CPR:9,Y ,NOT ANTAGONIST,Arg1:T11,Arg2:T53,CT is NOT ANTAGONIST of plasmin
14507109,CPR:4,Y ,DOWNREGULATOR,Arg1:T8,Arg2:T52,singlet oxygen is DOWNREGULATOR of plasmatic PAI-1
14507109,CPR:10,Y ,NOT UPREGULATOR,Arg1:T8,Arg2:T52,singlet oxygen is NOT UPREGULATOR of plasmatic PAI-1
14507109,CPR:10,Y ,NOT ACTIVATOR,Arg1:T8,Arg2:T52,singlet oxygen is NOT ACTIVATOR of plasmatic PAI-1
14507109,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T8,Arg2:T52,singlet oxygen is NOT INDIRECT-UPREGULATOR of plasmatic PAI-1
14507109,CPR:8,Y ,NOT AGONIST,Arg1:T8,Arg2:T52,singlet oxygen is NOT AGONIST of plasmatic PAI-1
14507109,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T8,Arg2:T52,singlet oxygen is NOT AGONIST-ACTIVATOR of plasmatic PAI-1
14507109,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T8,Arg2:T52,singlet oxygen is NOT AGONIST-INHIBITOR of plasmatic PAI-1
14507109,CPR:9,Y ,NOT ANTAGONIST,Arg1:T8,Arg2:T52,singlet oxygen is NOT ANTAGONIST of plasmatic PAI-1
14507109,CPR:4,Y ,DOWNREGULATOR,Arg1:T9,Arg2:T52,1O2 is DOWNREGULATOR of plasmatic PAI-1
14507109,CPR:10,Y ,NOT UPREGULATOR,Arg1:T9,Arg2:T52,1O2 is NOT UPREGULATOR of plasmatic PAI-1
